repo	instance_id	priority	failure_type	resolved	total_score	bug_fail_score	coverage_score	issue_alignment_score
astropy__astropy	astropy__astropy-14598	aligned+resolved	ALIGNED	true	2.7417	1.0000	0.8750	0.8667
astropy__astropy	astropy__astropy-14539	aligned+resolved	ALIGNED	true	2.3583	0.9445	0.7600	0.6538
django__django	django__django-14373	aligned+resolved	ALIGNED	true	3.0000	1.0000	1.0000	1.0000
django__django	django__django-13786	aligned+resolved	ALIGNED	true	2.8500	0.9750	1.0000	0.8750
matplotlib__matplotlib	matplotlib__matplotlib-20676	aligned+resolved	ALIGNED	true	2.7500	1.0000	1.0000	0.7500
matplotlib__matplotlib	matplotlib__matplotlib-24870	aligned+resolved	ALIGNED	true	2.7064	0.9286	1.0000	0.7778
mwaskom__seaborn	mwaskom__seaborn-3187	best_score_non_aligned	NO_COVERAGE	false	2.0428	0.7250	0.5400	0.7778
mwaskom__seaborn	mwaskom__seaborn-3069	best_score_non_aligned	NOT_VALID	false	1.3929	0.0000	0.6429	0.7500
pallets__flask	pallets__flask-5014	best_score_non_aligned	NOT_VALID	false	0.0000	0.0000	0.0000	0.0000
psf__requests	psf__requests-2931	aligned+not_resolved	ALIGNED	false	2.8333	1.0000	1.0000	0.8333
psf__requests	psf__requests-1766	aligned+not_resolved	ALIGNED	false	2.6600	1.0000	0.6600	1.0000
pydata__xarray	pydata__xarray-6992	aligned+resolved	ALIGNED	true	2.8869	0.9583	1.0000	0.9286
pydata__xarray	pydata__xarray-4695	aligned+resolved	ALIGNED	true	2.8750	1.0000	1.0000	0.8750
pylint-dev__pylint	pylint-dev__pylint-7277	aligned+not_resolved	ALIGNED	false	2.3955	0.9688	0.6600	0.7667
pylint-dev__pylint	pylint-dev__pylint-4970	best_score_non_aligned	NO_COVERAGE	false	2.3000	1.0000	0.3000	1.0000
pytest-dev__pytest	pytest-dev__pytest-10051	best_score_non_aligned	NO_COVERAGE	false	1.7528	0.9750	0.0000	0.7778
pytest-dev__pytest	pytest-dev__pytest-7432	aligned+not_resolved	ALIGNED	false	1.6250	0.9583	0.0000	0.6667
scikit-learn__scikit-learn	scikit-learn__scikit-learn-10908	aligned+resolved	ALIGNED	true	2.5174	0.9265	0.7500	0.8409
scikit-learn__scikit-learn	scikit-learn__scikit-learn-13135	aligned+resolved	ALIGNED	true	2.3260	0.9445	0.6471	0.7344
sphinx-doc__sphinx	sphinx-doc__sphinx-9673	aligned+not_resolved	ALIGNED	false	2.7500	1.0000	1.0000	0.7500
sphinx-doc__sphinx	sphinx-doc__sphinx-10673	best_score_non_aligned	NO_COVERAGE	false	2.4100	1.0000	0.4100	1.0000
sympy__sympy	sympy__sympy-11618	aligned+resolved	ALIGNED	true	3.0000	1.0000	1.0000	1.0000
sympy__sympy	sympy__sympy-20438	aligned+resolved	ALIGNED	true	2.9519	0.9711	1.0000	0.9808
